"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"109";0,118;70,19;5,183;7,232;0,112;7,084;7,126;0;0,293;1,374;1,29
"110";0,483;30,482;11,036;17,238;0,21;2,199;29,64;0;0,742;3,972;3,998
"111";0,063;43,975;4,677;21,037;0,335;7,393;12,909;0;0,493;2,152;6,966
"112";8,421;55,91;1,148;7,262;0,716;0,501;23,22;0;0,202;0,585;2,034
"113";0,599;36,504;18,169;23,201;0;3,234;10,159;0;1,703;2,968;3,462
"114";0,071;7,03;4,29;2,165;0,12;0,27;3,502;0;0,185;1,1;81,267
"115";0,385;25,459;5,797;32,391;0,734;3,535;16,996;0;0,277;9,687;4,738
"116";0,237;9,204;6,858;39,472;0,711;2,59;15,981;0;16,024;1,088;7,837
"117";2,545;24,611;17,542;24,732;0,252;1,564;21,738;0;0,217;1,909;4,89
"118";1,409;30,793;6,528;22,186;1,42;3,224;23,478;0;2,691;2,557;5,714
"119";0,698;50,259;9,449;11,486;0,254;5,176;10,392;0;0,423;5,756;6,108
"120";0,324;34,429;5,277;9,13;0,844;2,155;10,112;0;0,998;8,423;28,309
"121";0,531;25,456;13,081;30,64;0;5,937;18,647;0;0,726;1,001;3,981
"122";0,382;36,987;10,73;15,28;1,555;6,784;13,765;0;0,93;2,652;10,933
"123";1,031;27,486;10,579;16,755;1,674;5,727;31,693;0;1,616;1,742;1,697
"124";0,021;90,159;0,941;4,54;0,046;0,572;3,213;0;0,058;0,171;0,278
"125";0,138;81,213;2,277;7,005;0,132;0,181;5,248;0;0,202;0,374;3,23
"126";0,458;49,1;2,659;6,322;0,306;14,149;15,394;0;0,212;1,437;9,962
"127";0,962;19,984;25,071;12,536;0,755;1,972;34,733;0;0,456;1,36;2,173
"128";44,767;29,191;2,439;14,116;0,09;0,791;3,148;0;1,551;0,694;3,213
"129";0,057;14,765;5,742;16,059;0,152;12,961;32,831;0;1,212;5,655;10,567
"130";0,622;36,682;8,532;11,095;0,32;9,831;10,804;0;0,566;15,267;6,283
"131";0,218;13,576;7,712;10,394;0,27;5,42;48,205;0;0,572;2,411;11,222
"132";1,246;55,462;2,856;3,7;0,091;0,888;32,953;0;0,25;1,425;1,129
"133";3,334;17,724;5,924;27,206;0,373;6,842;29,34;0;0,187;2,453;6,618
"134";1,205;21,794;18,938;9,957;4,511;0,777;9,766;0;0,439;28,902;3,712
"135";0,728;36,827;1,948;3,258;0,109;0,832;5,77;0;0,126;49,64;0,763
"136";0,67;23,027;5,727;40,892;1,303;4,431;9,226;0;11,838;0,816;2,072
"137";0,127;28,426;33,224;15,875;0,238;15,346;3,947;0;0,271;1,486;1,06
"138";4,79;28,573;12,027;11,055;0,278;3,46;10,379;0;1,387;15,648;12,403
"139";0,13;85,954;3,216;5,327;0,093;0,601;3,373;0;0,116;0,351;0,839
