"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13"
"113";1,386;9,621;1,798;3,052;12,985;7,554;1,213;50,234;0;0,803;11,09;0;0,264
"114";0,089;0,411;0,273;0,116;65,877;2,429;22,294;7,421;0;0,058;0,946;0;0,087
"115";0,832;2,588;6,787;0,484;2,008;1,517;0;78,899;0;0,306;2,398;0;4,181
"116";1,038;4,895;1,465;0,273;2,353;12,379;0,569;58,488;0;10,08;7,477;0;0,983
"117";1,168;21,96;4,055;0,311;3,502;11,089;1,563;49,274;0;0,34;6,242;0;0,497
"118";0,176;2,315;0,582;0,413;2,996;1,178;0,851;83,369;0;1,605;3,809;0;2,707
"119";0,219;9,288;1,047;0,962;2,384;4,546;3,882;69,875;0;0,281;6,388;0;1,128
"120";0,06;1,417;0,724;0,171;0,497;0,609;0,133;9,785;0;0,51;86,063;0;0,03
"121";0,781;3,455;8,608;0,16;1,528;2,265;3,646;69,07;0;0,919;7,483;0;2,083
"122";0,111;1,429;0,145;0,155;3,437;1,536;0,804;89,668;0;0,082;1,948;0;0,685
"123";1,373;2,84;2,613;0,451;2,137;5,126;0,187;81,982;0;0,624;2,259;0;0,407
"124";0,115;4,83;0,833;0,283;6,597;7,135;1,957;67,953;0;0,483;2,642;0;7,173
"125";3,184;3,882;2,065;2,215;3,528;10,615;1,458;63,658;0;0,48;7,581;0;1,336
"126";0,097;0,814;0,119;0,005;0,992;0,302;0,175;96,102;0;0,058;1,012;0;0,324
"127";0,22;1,319;1,096;0,237;1,309;2,042;21,455;65,236;0;1,426;5,174;0;0,487
"128";0,412;9,878;0,551;0,335;29,643;9,084;0,908;44,585;0;0,529;2,783;0;1,292
"129";0,107;1,563;0,634;0,577;0,634;81,094;0,323;12,31;0;0,318;2,094;0;0,345
"130";0,234;1,013;2,904;0,142;5,416;13,508;16,926;51,608;0;1,006;6,958;0;0,286
"131";0,338;10,17;1,683;0,152;5,113;7,766;5,614;56,444;0;2,274;9,132;0;1,315
"132";0,103;1,368;0,581;0,391;6,483;8,564;0,341;78,304;0;0,185;2,935;0;0,746
"133";0,352;3,961;1,644;0,379;1,973;2,681;0,921;70,346;0;0,356;16,755;0;0,632
